StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q2_1,Q5_1,Q6_1,Q10,Q11,subject_initial,feature_initial,baseline_1,subject_2,feature_2,baseline_2,baseline_3,subject_3,feature_3,id
2017-11-17T14:48:47Z,2017-11-17 14:49:12,IP Address,100,24,True,2017-11-17 14:49:13,NA,NA,NA,NA,anonymous,EN,72,100,NA,NA,NA,feps,friendly,squirrel,dands,heavy,stone,NA,NA,NA,1
2017-11-17T14:34:41Z,2017-11-17 14:35:29,IP Address,100,48,True,2017-11-17 14:35:30,NA,NA,NA,NA,anonymous,EN,72,36,50,"feps,dands",NA,dands,heavy,stone,kobas,tasty,vegetable,dog,feps,friendly,2
2017-11-17T11:06:54Z,2017-11-17 11:07:06,IP Address,100,11,True,2017-11-17 11:07:06,NA,NA,NA,NA,anonymous,EN,87,62,96,wugs,NA,dands,heavy,stone,kobas,tasty,pizza,squirrel,feps,friendly,3
2017-11-17T14:33:30Z,2017-11-17 14:34:48,IP Address,100,77,True,2017-11-17 14:34:49,NA,NA,NA,NA,anonymous,EN,81,83,100,"kobas,feps,dands",Thank you!,feps,friendly,goat,kobas,tasty,vegetable,truck,dands,heavy,4
2017-11-17T10:15:51Z,2017-11-17 10:16:05,IP Address,100,13,True,2017-11-17 10:16:05,NA,NA,NA,NA,anonymous,EN,81,54,72,NA,NA,dands,heavy,bikes,kobas,tasty,pie,dogs,feps,friendly,5
2017-11-17T14:35:02Z,2017-11-17 14:35:38,IP Address,100,36,True,2017-11-17 14:35:39,NA,NA,NA,NA,anonymous,EN,75,83,27,"kobas,feps,dands",NA,feps,friendly,dog,dands,heavy,stone,vegetable,kobas,tasty,6
2017-11-17T11:06:31Z,2017-11-17 11:06:43,IP Address,100,12,True,2017-11-17 11:06:44,NA,NA,NA,NA,anonymous,EN,79,80,81,"bems,gazzers",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,7
2017-11-17T14:36:27Z,2017-11-17 14:36:50,IP Address,100,23,True,2017-11-17 14:36:51,NA,NA,NA,NA,anonymous,EN,90,99,98,"kobas,feps,dands",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,8
2017-11-17T14:34:47Z,2017-11-17 14:35:44,IP Address,100,57,True,2017-11-17 14:35:45,NA,NA,NA,NA,anonymous,EN,75,75,75,"kobas,dands,tomas",NA,kobas,tasty,vegetable,dands,heavy,stone,dog,feps,friendly,9
2017-11-17T14:35:21Z,2017-11-17 14:36:09,IP Address,100,48,True,2017-11-17 14:36:10,NA,NA,NA,NA,anonymous,EN,79,89,60,"kobas,feps,dands",NA,feps,friendly,goat,kobas,tasty,pizza,bike,dands,heavy,10
2017-11-17T14:35:50Z,2017-11-17 14:36:35,IP Address,100,44,True,2017-11-17 14:36:35,NA,NA,NA,NA,anonymous,EN,69,61,94,"kobas,feps,dands",NA,dands,heavy,stone,feps,friendly,squirrel,pizza,kobas,tasty,11
2017-11-17T14:35:02Z,2017-11-17 14:35:55,IP Address,100,52,True,2017-11-17 14:35:55,NA,NA,NA,NA,anonymous,EN,99,99,92,"kobas,feps,dands",NA,dands,heavy,truck,feps,friendly,goat,vegetable,kobas,tasty,12
2017-11-17T14:34:38Z,2017-11-17 14:35:14,IP Address,100,35,True,2017-11-17 14:35:14,NA,NA,NA,NA,anonymous,EN,35,34,54,"kobas,feps,dands",NA,kobas,tasty,pie,dands,heavy,bike,dog,feps,friendly,13
2017-11-17T14:35:00Z,2017-11-17 14:35:55,IP Address,100,55,True,2017-11-17 14:35:56,NA,NA,NA,NA,anonymous,EN,53,77,87,"kobas,feps,lorps",NA,dands,heavy,truck,kobas,tasty,pie,squirrel,feps,friendly,14
2017-11-17T10:16:34Z,2017-11-17 10:16:55,IP Address,100,21,True,2017-11-17 10:16:56,NA,NA,NA,NA,anonymous,EN,63,17,13,NA,NA,kobas,tasty,pizza,feps,friendly,squirrels,stones,dands,heavy,15
2017-11-17T14:34:37Z,2017-11-17 14:34:58,IP Address,100,21,True,2017-11-17 14:34:59,NA,NA,NA,NA,anonymous,EN,83,96,NA,NA,NA,feps,friendly,squirrel,dands,heavy,truck,NA,NA,NA,16
2017-11-17T10:20:28Z,2017-11-17 10:22:39,IP Address,100,130,True,2017-11-17 10:22:40,NA,NA,NA,NA,anonymous,EN,35,60,39,NA,NA,feps,friendly,goats,dands,heavy,trucks,vegetable,kobas,tasty,17
2017-11-17T14:33:19Z,2017-11-17 14:34:00,IP Address,100,41,True,2017-11-17 14:34:01,NA,NA,NA,NA,anonymous,EN,28,35,53,"kobas,feps,dands",NA,kobas,tasty,pie,feps,friendly,squirrel,truck,dands,heavy,18
2017-11-17T14:35:08Z,2017-11-17 14:35:45,IP Address,100,37,True,2017-11-17 14:35:46,NA,NA,NA,NA,anonymous,EN,69,83,72,"kobas,feps,dands",NA,kobas,tasty,pizza,dands,heavy,stone,squirrel,feps,friendly,19
2017-11-17T10:49:37Z,2017-11-17 10:50:07,Survey Preview,100,30,True,2017-11-17 10:50:08,NA,NA,NA,NA,preview,EN,49,70,46,"kobas,feps,dands",NA,feps,friendly,squirrel,kobas,tasty,pie,truck,dands,heavy,20
2017-11-17T14:34:38Z,2017-11-17 14:36:34,IP Address,100,115,True,2017-11-17 14:36:35,NA,NA,NA,NA,anonymous,EN,100,100,100,"kobas,feps,dands",NA,feps,friendly,squirrel,kobas,tasty,pie,truck,dands,heavy,21
2017-11-17T14:34:05Z,2017-11-17 14:36:51,IP Address,100,165,True,2017-11-17 14:36:52,NA,NA,NA,NA,anonymous,EN,40,38,57,"kobas,lorps",fun,dands,heavy,truck,feps,friendly,goat,vegetable,kobas,tasty,22
2017-11-17T14:34:36Z,2017-11-17 14:36:04,IP Address,100,88,True,2017-11-17 14:36:05,NA,NA,NA,NA,anonymous,EN,100,70,78,"kobas,feps,dands",NA,dands,heavy,bike,kobas,tasty,pie,dog,feps,friendly,23
2017-11-17T14:34:36Z,2017-11-17 14:35:27,IP Address,100,51,True,2017-11-17 14:35:27,NA,NA,NA,NA,anonymous,EN,75,86,37,"kobas,feps,dands",NA,kobas,tasty,pie,feps,friendly,dog,bike,dands,heavy,24
2017-11-17T14:35:10Z,2017-11-17 14:36:06,IP Address,100,55,True,2017-11-17 14:36:06,NA,NA,NA,NA,anonymous,EN,75,87,100,"kobas,feps,dands,tomas",NA,kobas,tasty,pizza,feps,friendly,goat,bike,dands,heavy,25
2017-11-17T14:34:39Z,2017-11-17 14:35:49,IP Address,100,70,True,2017-11-17 14:35:50,NA,NA,NA,NA,anonymous,EN,34,87,62,"kobas,feps,dands",NA,feps,friendly,squirrel,kobas,tasty,pie,truck,dands,heavy,26
2017-11-17T14:47:28Z,2017-11-17 14:48:42,IP Address,100,74,True,2017-11-17 14:48:43,NA,NA,NA,NA,anonymous,EN,50,53,49,"kobas,feps,dands",You need to pay more for this.,kobas,tasty,vegetable,feps,friendly,dog,stone,dands,heavy,27
2017-11-17T14:35:26Z,2017-11-17 14:37:56,IP Address,100,150,True,2017-11-17 14:38:01,NA,NA,NA,NA,anonymous,EN,96,97,100,"kobas,feps,bems","I couldn't remember the last one, sorry.  I'm bad at memory checks. :( But I did pay full attention to the study.",feps,friendly,goat,dands,heavy,bike,pizza,kobas,tasty,28
2017-11-17T14:34:32Z,2017-11-17 14:35:12,IP Address,100,39,True,2017-11-17 14:35:13,NA,NA,NA,NA,anonymous,EN,85,79,70,"kobas,feps",NA,feps,friendly,dog,kobas,tasty,pie,bike,dands,heavy,29
2017-11-17T14:32:45Z,2017-11-17 14:33:53,IP Address,100,68,True,2017-11-17 14:33:54,NA,NA,NA,NA,anonymous,EN,80,84,86,"kobas,feps,dands",none,dands,heavy,truck,feps,friendly,squirrel,pie,kobas,tasty,30
2017-11-17T10:13:52Z,2017-11-17 10:14:16,Survey Preview,100,23,True,2017-11-17 10:14:16,NA,NA,NA,NA,preview,EN,83,61,85,NA,NA,kobas,tasty,vegetable,feps,friendly,dogs,stones,dands,heavy,31
2017-11-17T14:32:28Z,2017-11-17 14:33:53,IP Address,100,84,True,2017-11-17 14:33:53,NA,NA,NA,NA,anonymous,EN,80,80,100,"kobas,feps,dands","No further comment, at this time",kobas,tasty,vegetable,feps,friendly,goat,truck,dands,heavy,32
2017-11-17T14:45:34Z,2017-11-17 14:46:17,IP Address,100,42,True,2017-11-17 14:46:17,NA,NA,NA,NA,anonymous,EN,64,54,78,"kobas,feps,dands",NA,dands,heavy,bike,feps,friendly,dog,pie,kobas,tasty,33
2017-11-17T14:34:51Z,2017-11-17 14:36:00,IP Address,100,69,True,2017-11-17 14:36:00,NA,NA,NA,NA,anonymous,EN,70,15,100,"kobas,dands",simple,kobas,tasty,vegetable,feps,friendly,goat,truck,dands,heavy,34
2017-11-17T10:36:47Z,2017-11-17 10:36:59,IP Address,100,11,True,2017-11-17 10:36:59,NA,NA,NA,NA,anonymous,EN,49,NA,NA,NA,NA,feps,friendly,squirrels,NA,NA,NA,NA,NA,NA,35
2017-11-17T11:07:34Z,2017-11-17 11:07:57,IP Address,100,22,True,2017-11-17 11:07:58,NA,NA,NA,NA,anonymous,EN,81,84,78,wugs,asdf,kobas,tasty,pie,dands,heavy,truck,squirrel,feps,friendly,36
2017-11-17T11:07:14Z,2017-11-17 11:07:36,Survey Preview,100,22,True,2017-11-17 11:07:36,NA,NA,NA,NA,preview,EN,68,79,57,manus,NA,feps,friendly,dog,dands,heavy,bike,pie,kobas,tasty,37
2017-11-17T14:35:21Z,2017-11-17 14:37:44,IP Address,100,142,True,2017-11-17 14:37:44,NA,NA,NA,NA,anonymous,EN,49,60,62,"kobas,dands",NA,dands,heavy,bike,feps,friendly,dog,pie,kobas,tasty,38
2017-11-17T14:35:23Z,2017-11-17 14:37:40,IP Address,100,137,True,2017-11-17 14:37:41,NA,NA,NA,NA,anonymous,EN,75,91,80,"kobas,feps,dands","I hope I did this right!    Good survey, thanks!",feps,friendly,goat,dands,heavy,bike,pizza,kobas,tasty,39
2017-11-17T14:08:05Z,2017-11-17 14:08:34,IP Address,100,29,True,2017-11-17 14:08:35,NA,NA,NA,NA,anonymous,EN,49,68,79,"feps,bems,manus",kasdjfgl;kajsd'lf,kobas,tasty,vegetable,dands,heavy,truck,goat,feps,friendly,40
2017-11-17T10:51:35Z,2017-11-17 10:54:06,IP Address,100,151,True,2017-11-17 10:54:07,NA,NA,NA,NA,anonymous,EN,60,75,89,"kobas,feps,dands",NA,kobas,tasty,vegetable,feps,friendly,dog,stone,dands,heavy,41
2017-11-17T14:33:46Z,2017-11-17 14:34:24,IP Address,100,37,True,2017-11-17 14:34:24,NA,NA,NA,NA,anonymous,EN,100,24,100,"kobas,feps,dands",NA,kobas,tasty,pizza,feps,friendly,goat,bike,dands,heavy,42
2017-11-17T14:37:20Z,2017-11-17 14:38:47,IP Address,100,86,True,2017-11-17 14:38:47,NA,NA,NA,NA,anonymous,EN,82,82,82,"kobas,feps,dands",NA,kobas,tasty,pie,dands,heavy,truck,squirrel,feps,friendly,43
2017-11-17T14:33:31Z,2017-11-17 14:34:26,IP Address,100,55,True,2017-11-17 14:34:27,NA,NA,NA,NA,anonymous,EN,90,100,50,"kobas,feps,dands",NA,dands,heavy,stone,feps,friendly,dog,vegetable,kobas,tasty,44
2017-11-17T14:35:04Z,2017-11-17 14:36:38,IP Address,100,94,True,2017-11-17 14:36:38,NA,NA,NA,NA,anonymous,EN,75,78,23,"kobas,feps,dands",NA,feps,friendly,dog,dands,heavy,stone,vegetable,kobas,tasty,45
2017-11-17T14:45:22Z,2017-11-17 14:46:20,IP Address,100,58,True,2017-11-17 14:46:21,NA,NA,NA,NA,anonymous,EN,97,65,82,"kobas,feps,dands",NA,kobas,tasty,pizza,dands,heavy,bike,goat,feps,friendly,46
2017-11-17T10:56:56Z,2017-11-17 10:57:17,IP Address,100,21,True,2017-11-17 10:57:17,NA,NA,NA,NA,anonymous,EN,99,99,1,"feps,bems,tomas,manus,lorps",NA,feps,friendly,goat,dands,heavy,bike,pizza,kobas,tasty,47
2017-11-17T14:36:11Z,2017-11-17 14:37:05,IP Address,100,54,True,2017-11-17 14:37:06,NA,NA,NA,NA,anonymous,EN,75,60,70,"kobas,feps,dands",NA,dands,heavy,stone,kobas,tasty,vegetable,dog,feps,friendly,48
2017-11-17T14:41:59Z,2017-11-17 14:43:20,IP Address,100,80,True,2017-11-17 14:43:21,NA,NA,NA,NA,anonymous,EN,83,91,75,"kobas,feps,dands",NA,dands,heavy,truck,kobas,tasty,pie,squirrel,feps,friendly,49
2017-11-17T14:32:59Z,2017-11-17 14:34:13,IP Address,100,73,True,2017-11-17 14:34:13,NA,NA,NA,NA,anonymous,EN,100,78,72,"kobas,feps,dands",NA,dands,heavy,bike,feps,friendly,goat,pizza,kobas,tasty,50
2017-11-17T11:07:19Z,2017-11-17 11:07:27,IP Address,100,7,True,2017-11-17 11:07:27,NA,NA,NA,NA,anonymous,EN,77,38,NA,NA,NA,feps,friendly,squirrel,dands,heavy,truck,NA,NA,NA,51
2017-11-17T14:33:45Z,2017-11-17 14:35:02,IP Address,100,77,True,2017-11-17 14:35:03,NA,NA,NA,NA,anonymous,EN,87,69,67,"kobas,feps,dands",NA,kobas,tasty,pizza,dands,heavy,stone,squirrel,feps,friendly,52
