StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,big_cities_1,own_homes_1,computer_preference_1,news_phone_1,vegetarian_1,cigarettes_1,grocery_1,tennis_1,skiing_1,podcast_1,driving_1,cook_at_home_1,dairy_products_1,go_to_gym_1,drink_coffee_1,gender,age,politics,zip,attention_check,Q11,id
2018-10-05T11:41:05Z,2018-10-05 11:43:15,100,129,True,2018-10-05 11:43:15,NA,anonymous,EN,35,75,38,76,12,32,34,20,44,30,89,65,95,60,77,Female,37,Republican,17011,"drink coffee,cook at home,go to the gym,drive to work",NA,1
2018-10-05T11:41:04Z,2018-10-05 11:43:47,100,163,True,2018-10-05 11:43:48,NA,anonymous,EN,70,75,45,90,50,50,40,40,55,90,65,85,70,50,75,Female,42,Democrat,44035,"drink coffee,cook at home,go to the gym,drive to work",NA,2
2018-10-05T11:40:26Z,2018-10-05 11:41:38,100,71,True,2018-10-05 11:41:38,NA,anonymous,EN,62,38,34,59,29,19,23,26,18,14,78,60,66,17,44,Female,37,Democrat,20906,"drink coffee,cook at home,go to the gym,drive to work",NA,3
2018-10-05T11:44:54Z,2018-10-05 11:47:05,100,130,True,2018-10-05 11:47:06,NA,anonymous,EN,80,30,25,85,5,65,15,5,79,10,70,30,85,15,95,Male,24,Independent,92324,"drink coffee,cook at home,go to the gym,drive to work",Everything was fine.,4
2018-10-05T11:40:34Z,2018-10-05 11:42:31,100,117,True,2018-10-05 11:42:32,NA,anonymous,EN,42,35,30,73,15,25,43,20,27,55,63,38,79,23,78,Male,37,Democrat,35661,"drink coffee,cook at home,go to the gym,drive to work",NA,5
2018-10-05T11:43:06Z,2018-10-05 11:45:39,100,152,True,2018-10-05 11:45:39,NA,anonymous,EN,56,35,42,38,11,15,23,20,35,30,82,90,91,31,76,Male,26,Democrat,77418,"drink coffee,cook at home,go to the gym,drive to work",NA,6
2018-10-05T11:40:32Z,2018-10-05 11:42:02,100,90,True,2018-10-05 11:42:02,NA,anonymous,EN,91,99,62,98,91,64,94,80,96,31,97,98,89,100,90,Male,21,Republican,17603,drink coffee,NA,7
2018-10-05T11:41:20Z,2018-10-05 11:44:15,100,175,True,2018-10-05 11:44:15,NA,anonymous,EN,40,70,40,30,20,60,10,20,20,40,60,70,60,50,80,Female,32,Democrat,38732,"drink coffee,cook at home,go to the gym,drive to work",NA,8
2018-10-05T11:56:36Z,2018-10-05 11:58:49,100,133,True,2018-10-05 11:58:49,NA,anonymous,EN,52,44,14,85,14,34,10,9,20,38,64,66,92,23,45,Male,25,Democrat,61801,"drink coffee,cook at home,go to the gym,drive to work",Thanks for the HIT! Instructions were clear. Good luck!,9
2018-10-05T11:45:31Z,2018-10-05 11:47:51,100,139,True,2018-10-05 11:47:51,NA,anonymous,EN,50,65,65,80,5,25,5,5,10,50,90,50,85,20,70,Male,38,Republican,33759,"drink coffee,cook at home,go to the gym,drive to work",Everything worked,10
2018-10-05T11:44:21Z,2018-10-05 11:45:56,100,95,True,2018-10-05 11:45:56,NA,anonymous,EN,65,28,46,64,31,34,14,24,30,50,69,44,45,28,58,Male,27,Independent,76001,"watch TV,read newspapers,go to the movies",NA,11
2018-10-05T11:43:23Z,2018-10-05 11:44:57,100,94,True,2018-10-05 11:44:57,NA,anonymous,EN,66,53,52,83,5,16,18,9,20,36,65,49,89,27,75,Female,25,Independent,90036,"drink coffee,cook at home,go to the gym,drive to work",NA,12
2018-10-05T11:42:21Z,2018-10-05 11:45:20,100,178,True,2018-10-05 11:45:20,NA,anonymous,EN,35,20,25,75,35,40,15,26,20,30,85,45,70,31,80,Female,27,Independent,88007,"drink coffee,cook at home,go to the gym,drive to work",NA,13
2018-10-05T11:40:31Z,2018-10-05 11:42:18,100,107,True,2018-10-05 11:42:19,NA,anonymous,EN,37,47,76,96,38,11,7,30,32,62,65,51,82,44,81,Female,36,Democrat,63025,"drink coffee,cook at home,go to the gym,drive to work",NA,14
2018-10-05T11:43:08Z,2018-10-05 11:45:34,100,145,True,2018-10-05 11:45:34,NA,anonymous,EN,15,40,15,60,5,30,3,5,10,30,80,85,95,10,90,Male,36,Republican,45505,"drink coffee,cook at home,go to the gym,drive to work",Thanks.,15
2018-10-05T11:56:44Z,2018-10-05 12:03:06,100,382,True,2018-10-05 12:03:06,NA,anonymous,EN,55,30,36,65,21,77,15,15,21,8,60,31,85,36,90,Male,23,Independent,10303,"drink coffee,cook at home,go to the gym,drive to work",NA,16
2018-10-05T11:41:32Z,2018-10-05 11:44:53,100,200,True,2018-10-05 11:44:53,NA,anonymous,EN,18,47,9,8,8,16,3,8,18,16,78,88,74,12,60,Male,68,Republican,07470,"watch TV,read newspapers,go to the movies,go to bars",NO,17
2018-10-05T11:41:46Z,2018-10-05 11:46:00,100,253,True,2018-10-05 11:46:00,NA,anonymous,EN,65,60,25,60,10,25,10,15,15,10,75,86,85,30,70,Female,40,Independent,37620,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,18
2018-10-05T11:42:45Z,2018-10-05 11:45:53,100,187,True,2018-10-05 11:45:53,NA,anonymous,EN,50,26,20,64,17,60,8,32,23,20,75,58,70,31,65,Male,35,Democrat,48706,"drink coffee,cook at home,go to the gym,drive to work",Thanks for letting me participate.,19
2018-10-05T11:50:37Z,2018-10-05 11:53:01,100,143,True,2018-10-05 11:53:02,NA,anonymous,EN,37,23,15,81,21,22,13,3,3,13,64,94,86,21,67,Female,60,Independent,97128,"drink coffee,cook at home,go to the gym,drive to work",NA,20
2018-10-05T11:51:36Z,2018-10-05 11:54:05,100,149,True,2018-10-05 11:54:05,NA,anonymous,EN,24,46,37,52,28,20,49,15,29,21,73,62,62,35,71,Female,38,Democrat,92557,"drink coffee,cook at home,go to the gym,drive to work",NA,21
2018-10-05T11:40:46Z,2018-10-05 11:43:15,100,149,True,2018-10-05 11:43:16,NA,anonymous,EN,51,72,23,68,18,32,40,24,25,75,89,77,62,32,82,Male,39,Democrat,92683,"drink coffee,cook at home,go to the gym,drive to work",NA,22
2018-10-05T11:42:49Z,2018-10-05 11:45:04,100,134,True,2018-10-05 11:45:04,NA,anonymous,EN,32,59,34,74,25,37,30,10,15,11,71,55,77,48,80,Female,48,Republican,52346,"drink coffee,cook at home,go to the gym,drive to work",NA,23
2018-10-05T11:40:46Z,2018-10-05 11:42:31,100,104,True,2018-10-05 11:42:31,NA,anonymous,EN,27,14,51,64,29,34,4,20,29,17,58,38,76,14,71,Female,41,Democrat,28645,"drink coffee,cook at home,go to the gym,drive to work",NA,24
2018-10-05T11:43:15Z,2018-10-05 11:47:46,100,271,True,2018-10-05 11:47:46,NA,anonymous,EN,47,43,62,85,42,91,96,54,55,54,50,83,89,61,80,Male,31,Democrat,76106,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",no,25
2018-10-05T12:06:24Z,2018-10-05 12:08:42,100,137,True,2018-10-05 12:08:43,NA,anonymous,EN,52,32,13,56,16,32,21,12,22,8,91,46,71,41,85,Female,43,Republican,25387,"drink coffee,cook at home,go to the gym,drive to work",NA,26
2018-10-05T11:48:20Z,2018-10-05 11:50:43,100,142,True,2018-10-05 11:50:43,NA,anonymous,EN,53,47,52,66,13,27,38,22,30,26,83,97,91,56,69,Male,33,Democrat,36067,"drink coffee,cook at home,go to the gym,drive to work",NA,27
2018-10-05T11:46:40Z,2018-10-05 11:49:44,100,183,True,2018-10-05 11:49:44,NA,anonymous,EN,76,86,80,71,74,81,75,80,76,75,76,77,77,82,81,Female,21,Republican,32004,"drink coffee,cook at home,go to the gym,drive to work,watch TV,read newspapers,go to the movies,go to bars",no,28
2018-10-05T11:40:42Z,2018-10-05 11:43:27,100,164,True,2018-10-05 11:43:28,NA,anonymous,EN,33,40,35,40,8,35,20,10,19,16,71,78,89,15,59,Male,42,Democrat,16055,"drink coffee,cook at home,go to the gym,drive to work",NA,29
2018-10-05T11:43:14Z,2018-10-05 11:44:52,100,97,True,2018-10-05 11:44:52,NA,anonymous,EN,50,45,50,81,22,25,31,40,40,41,79,85,75,50,79,Female,31,Democrat,29307,"drink coffee,cook at home,go to the gym,drive to work",NA,30
2018-10-05T11:42:20Z,2018-10-05 11:47:19,100,299,True,2018-10-05 11:47:20,NA,anonymous,EN,57,38,27,45,34,54,31,22,39,38,58,36,59,47,56,Male,29,Republican,34747,"drink coffee,go to the gym,drive to work,watch TV,read newspapers",GOOD,31
2018-10-05T11:42:02Z,2018-10-05 11:45:28,100,206,True,2018-10-05 11:45:29,NA,anonymous,EN,78,83,69,85,60,80,72,74,66,85,80,80,70,73,90,Male,28,Republican,11235,cook at home,NA,32
2018-10-05T11:43:19Z,2018-10-05 11:46:21,100,182,True,2018-10-05 11:46:22,NA,anonymous,EN,70,40,60,80,15,20,50,10,40,60,75,85,90,20,90,Male,29,Democrat,97111,"drink coffee,cook at home,go to the gym,drive to work",NA,33
2018-10-05T11:50:23Z,2018-10-05 11:52:51,100,148,True,2018-10-05 11:52:52,NA,anonymous,EN,50,66,25,60,10,20,25,25,65,30,70,70,95,30,80,Male,35,Democrat,54901,"drink coffee,cook at home,go to the gym,drive to work",NA,34
2018-10-05T11:55:22Z,2018-10-05 11:56:33,100,70,True,2018-10-05 11:56:33,NA,anonymous,EN,58,36,37,94,4,20,13,21,68,29,86,66,79,18,79,Male,29,Independent,65301,"drink coffee,cook at home,go to the gym,drive to work",NA,35
2018-10-05T11:44:50Z,2018-10-05 11:46:47,100,116,True,2018-10-05 11:46:47,NA,anonymous,EN,51,29,24,64,6,46,22,11,33,50,76,44,92,15,50,Male,29,Independent,32563,"drink coffee,cook at home,go to the gym,drive to work",NA,36
2018-10-05T11:40:54Z,2018-10-05 11:43:16,100,142,True,2018-10-05 11:43:16,NA,anonymous,EN,50,45,30,60,10,13,20,20,60,20,70,85,90,15,45,Male,44,Independent,56082,"drink coffee,cook at home,go to the gym,drive to work",NA,37
2018-10-05T11:40:56Z,2018-10-05 11:45:23,100,266,True,2018-10-05 11:45:23,NA,anonymous,EN,56,40,48,73,25,25,20,10,37,27,82,80,70,35,70,Female,29,Independent,97405,"drink coffee,cook at home,go to the gym,drive to work",NA,38
2018-10-05T11:43:53Z,2018-10-05 11:45:29,100,95,True,2018-10-05 11:45:29,NA,anonymous,EN,55,45,53,72,15,23,49,19,44,21,69,52,91,42,63,Male,32,Democrat,92507,"drink coffee,cook at home,go to the gym,drive to work",NA,39
2018-10-05T11:41:34Z,2018-10-05 11:42:54,100,80,True,2018-10-05 11:42:54,NA,anonymous,EN,28,16,38,32,9,19,52,14,55,47,29,15,49,30,19,Male,24,Republican,44286,"go to the gym,watch TV",NA,40
2018-10-05T11:42:51Z,2018-10-05 11:50:31,100,460,True,2018-10-05 11:50:32,NA,anonymous,EN,66,40,44,96,31,67,11,29,36,35,74,62,69,22,76,Male,39,Democrat,34983,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,41
2018-10-05T11:41:33Z,2018-10-05 11:45:41,100,247,True,2018-10-05 11:45:41,NA,anonymous,EN,38,12,22,26,28,28,23,15,11,32,48,99,59,24,37,Male,22,Democrat,95826,"cook at home,go to the gym,watch TV,read newspapers,go to the movies",NA,42
2018-10-05T11:40:54Z,2018-10-05 11:43:50,100,175,True,2018-10-05 11:43:50,NA,anonymous,EN,25,33,33,60,5,15,10,10,20,15,85,20,90,10,97,Male,34,Independent,53029,"drink coffee,cook at home,go to the gym,drive to work",N/A,43
2018-10-05T11:43:13Z,2018-10-05 11:45:22,100,129,True,2018-10-05 11:45:22,NA,anonymous,EN,50,40,30,60,10,25,3,5,10,10,66,95,85,25,55,Female,40,Democrat,55419,"drink coffee,cook at home,go to the gym,drive to work",NA,44
2018-10-05T11:56:36Z,2018-10-05 11:59:29,100,172,True,2018-10-05 11:59:29,NA,anonymous,EN,41,43,61,76,10,30,22,8,19,28,87,50,76,15,58,Female,58,Democrat,32951,"drink coffee,cook at home,go to the gym,drive to work",NA,45
2018-10-05T11:40:34Z,2018-10-05 11:43:46,100,191,True,2018-10-05 11:43:46,NA,anonymous,EN,55,25,40,35,20,25,30,10,25,10,70,60,40,20,60,Female,46,Democrat,92026,"drink coffee,cook at home,go to the gym,drive to work",NA,46
2018-10-05T12:12:25Z,2018-10-05 12:15:28,100,183,True,2018-10-05 12:15:29,NA,anonymous,EN,91,74,50,93,69,64,78,89,77,76,76,77,65,54,83,Female,28,Republican,90001,"drink coffee,cook at home,go to the gym,drive to work",NA,47
2018-10-05T11:40:39Z,2018-10-05 11:46:06,100,327,True,2018-10-05 11:46:06,NA,anonymous,EN,57,66,62,88,31,43,2,7,5,8,54,65,64,22,75,Male,26,Democrat,30043,"drink coffee,cook at home,go to the gym,drive to work",NA,48
2018-10-05T11:40:51Z,2018-10-05 11:42:56,100,124,True,2018-10-05 11:42:56,NA,anonymous,EN,59,24,47,93,29,18,24,28,37,67,80,68,90,37,93,Male,35,Independent,27403,"drink coffee,cook at home,go to the gym,drive to work",NA,49
2018-10-05T11:43:01Z,2018-10-05 11:45:42,100,160,True,2018-10-05 11:45:42,NA,anonymous,EN,57,62,25,80,40,30,25,20,35,21,75,90,81,27,66,Female,31,Other,49058,"drink coffee,cook at home,go to the gym,drive to work",NA,50
2018-10-05T11:40:58Z,2018-10-05 11:44:40,100,222,True,2018-10-05 11:44:40,NA,anonymous,EN,50,40,35,70,30,40,20,15,70,50,60,60,90,25,60,Male,30,Democrat,11216,"drink coffee,cook at home,go to the gym,drive to work",NA,51
2018-10-05T11:41:05Z,2018-10-05 11:44:06,100,180,True,2018-10-05 11:44:07,NA,anonymous,EN,79,50,34,80,45,22,37,25,15,32,80,68,80,27,75,Female,59,Independent,54653,"drink coffee,cook at home,go to the gym,drive to work",None today. :o),52
2018-10-05T11:56:43Z,2018-10-05 11:59:30,100,166,True,2018-10-05 11:59:30,NA,anonymous,EN,75,35,30,90,3,15,3,5,8,15,95,80,99,30,60,Female,40,Democrat,43229,"drink coffee,cook at home,go to the gym,drive to work",NA,53
2018-10-05T11:43:26Z,2018-10-05 11:49:21,100,354,True,2018-10-05 11:49:21,NA,anonymous,EN,40,58,38,45,8,7,35,4,3,26,75,58,49,25,39,Female,35,Democrat,20015,"drink coffee,cook at home,go to the gym,drive to work",No comments,54
2018-10-05T11:42:38Z,2018-10-05 11:44:20,100,101,True,2018-10-05 11:44:20,NA,anonymous,EN,50,44,28,45,25,33,15,8,18,9,74,78,78,31,53,Male,39,Democrat,49417,"drink coffee,cook at home,go to the gym,drive to work",NA,55
2018-10-05T11:40:55Z,2018-10-05 11:47:23,100,388,True,2018-10-05 11:47:23,NA,anonymous,EN,65,55,45,40,30,64,41,38,17,25,89,68,67,35,79,Female,25,Republican,92371,"drink coffee,cook at home,go to the gym,drive to work",NA,56
2018-10-05T11:40:39Z,2018-10-05 11:42:33,100,113,True,2018-10-05 11:42:33,NA,anonymous,EN,60,50,30,80,40,50,55,40,25,35,65,90,65,50,45,Male,33,Democrat,28205,"drink coffee,cook at home,go to the gym,drive to work",NA,57
2018-10-05T11:50:19Z,2018-10-05 11:54:43,100,264,True,2018-10-05 11:54:44,NA,anonymous,EN,61,32,40,80,23,75,20,32,26,10,67,40,85,29,90,Female,25,Independent,10306,"drink coffee,cook at home,go to the gym,drive to work",NA,58
2018-10-05T11:42:23Z,2018-10-05 11:44:14,100,110,True,2018-10-05 11:44:14,NA,anonymous,EN,75,54,21,52,20,45,32,13,23,20,83,78,68,37,81,Female,55,Democrat,85381,"drink coffee,cook at home,go to the gym,drive to work",NA,59
2018-10-05T11:40:43Z,2018-10-05 11:42:30,100,107,True,2018-10-05 11:42:30,NA,anonymous,EN,40,35,30,60,12,33,25,15,18,10,65,40,85,21,55,Male,30,Independent,98133,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,60
2018-10-05T11:40:29Z,2018-10-05 11:42:47,100,137,True,2018-10-05 11:42:47,NA,anonymous,EN,60,55,23,56,18,39,13,26,39,22,72,79,80,51,66,Male,40,Democrat,72501,"drink coffee,cook at home,go to the gym,drive to work",NA,61
2018-10-05T11:40:36Z,2018-10-05 11:48:53,100,497,True,2018-10-05 11:48:53,NA,anonymous,EN,29,28,12,11,18,39,2,14,11,8,56,63,62,13,27,Male,57,Independent,28791,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,62
2018-10-05T11:41:06Z,2018-10-05 11:47:01,100,355,True,2018-10-05 11:47:02,NA,anonymous,EN,31,38,42,45,20,60,50,43,38,36,52,65,61,35,64,Female,65,Democrat,76104,"drink coffee,cook at home,go to the gym,go to bars",NA,63
2018-10-05T11:44:16Z,2018-10-05 11:45:52,100,95,True,2018-10-05 11:45:53,NA,anonymous,EN,44,42,54,78,13,24,25,38,11,39,60,83,70,34,62,Male,39,Republican,60169,"drink coffee,cook at home,go to the gym,drive to work",NA,64
2018-10-05T11:48:14Z,2018-10-05 11:51:14,100,179,True,2018-10-05 11:51:15,NA,anonymous,EN,52,47,40,73,33,39,8,14,68,37,76,74,76,43,82,Male,41,Independent,60441,"drink coffee,cook at home,go to the gym,drive to work",NA,65
2018-10-05T11:45:34Z,2018-10-05 11:49:44,100,249,True,2018-10-05 11:49:44,NA,anonymous,EN,55,45,40,70,25,33,50,20,40,30,70,55,60,40,66,Female,34,Democrat,55046,"drink coffee,cook at home,go to the gym,drive to work",NA,66
2018-10-05T11:45:38Z,2018-10-05 11:49:18,100,220,True,2018-10-05 11:49:18,NA,anonymous,EN,45,55,22,70,18,20,15,15,22,21,78,92,83,35,45,Female,49,Democrat,84029,"drink coffee,cook at home,go to the gym,drive to work",NA,67
2018-10-05T11:40:38Z,2018-10-05 11:42:39,100,120,True,2018-10-05 11:42:39,NA,anonymous,EN,51,44,21,68,6,26,14,13,15,24,77,33,71,6,55,Female,38,Democrat,66203,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,68
2018-10-05T11:46:33Z,2018-10-05 11:49:19,100,165,True,2018-10-05 11:49:19,NA,anonymous,EN,32,29,32,96,11,20,29,7,18,42,93,92,91,31,82,Female,35,Independent,60504,"drink coffee,cook at home,go to the gym,drive to work",NA,69
2018-10-05T11:40:47Z,2018-10-05 11:42:44,100,116,True,2018-10-05 11:42:44,NA,anonymous,EN,50,31,17,86,8,18,8,4,9,32,91,65,77,15,95,Male,47,Other,78566,"drink coffee,cook at home,go to the gym,drive to work",NA,70
2018-10-05T11:48:47Z,2018-10-05 11:50:54,100,127,True,2018-10-05 11:50:55,NA,anonymous,EN,45,41,35,13,7,15,11,16,29,28,75,92,85,18,70,Male,34,Independent,10801,"drink coffee,cook at home,go to the gym,drive to work",NA,71
2018-10-05T11:40:35Z,2018-10-05 11:42:24,100,109,True,2018-10-05 11:42:24,NA,anonymous,EN,45,67,61,95,6,10,20,15,40,70,80,70,45,33,60,Male,27,Independent,70808,"watch TV,read newspapers,go to the movies,go to bars",NA,72
2018-10-05T11:45:41Z,2018-10-05 11:47:41,100,119,True,2018-10-05 11:47:41,NA,anonymous,EN,45,45,35,95,35,50,20,10,15,40,65,50,70,25,75,Female,30,Republican,39574,"drink coffee,cook at home,go to the gym,drive to work",NA,73
2018-10-05T11:43:21Z,2018-10-05 11:46:13,100,172,True,2018-10-05 11:46:14,NA,anonymous,EN,44,60,41,80,30,32,25,35,56,44,95,79,74,49,92,Male,28,Democrat,41168,"drink coffee,cook at home,go to the gym,drive to work,watch TV",NA,74
2018-10-05T11:47:01Z,2018-10-05 11:51:14,100,252,True,2018-10-05 11:51:14,NA,anonymous,EN,43,29,36,43,23,12,6,12,6,13,81,68,81,26,26,Male,23,Republican,64106,"drink coffee,cook at home,go to the gym,drive to work",NA,75
2018-10-05T11:43:45Z,2018-10-05 11:45:44,100,118,True,2018-10-05 11:45:44,NA,anonymous,EN,49,23,40,47,17,19,14,12,15,26,62,57,66,32,71,Male,40,Independent,75201,"drink coffee,cook at home,go to the gym,drive to work",NA,76
2018-10-05T11:52:20Z,2018-10-05 11:55:07,100,166,True,2018-10-05 11:55:07,NA,anonymous,EN,44,31,20,57,7,14,1,5,9,3,64,90,60,21,58,Male,45,Independent,97603,"drink coffee,cook at home,go to the gym,drive to work",NA,77
2018-10-05T11:40:44Z,2018-10-05 11:43:22,100,158,True,2018-10-05 11:43:22,NA,anonymous,EN,50,33,12,20,40,15,4,21,15,10,70,75,81,9,76,Female,28,Democrat,48706,"drink coffee,cook at home,go to the gym,drive to work",NA,78
2018-10-05T11:41:08Z,2018-10-05 11:42:17,100,68,True,2018-10-05 11:42:17,NA,anonymous,EN,59,27,15,91,26,25,38,6,13,38,86,63,89,42,75,Female,29,Democrat,56001,"drink coffee,cook at home,go to the gym,drive to work",thanks,79
2018-10-05T11:41:17Z,2018-10-05 11:47:32,100,375,True,2018-10-05 11:47:32,NA,anonymous,EN,90,62,35,35,25,8,5,2,5,15,75,40,85,30,80,Male,25,Democrat,91304,"drink coffee,cook at home,go to the gym,drive to work",Interesting. Nice day.,80
2018-10-05T11:40:59Z,2018-10-05 11:43:45,100,166,True,2018-10-05 11:43:46,NA,anonymous,EN,60,49,11,30,9,27,20,16,14,10,75,51,75,21,60,Female,41,Republican,77486,"drink coffee,cook at home,go to the gym,drive to work",NA,81
2018-10-05T11:41:14Z,2018-10-05 11:43:54,100,160,True,2018-10-05 11:43:54,NA,anonymous,EN,30,50,40,80,15,20,30,15,20,35,75,90,85,20,50,Female,34,Democrat,20121,"drink coffee,cook at home,go to the gym,drive to work",NA,82
2018-10-05T11:41:37Z,2018-10-05 11:43:31,100,114,True,2018-10-05 11:43:32,NA,anonymous,EN,40,49,29,42,26,17,8,30,35,33,80,64,65,41,86,Male,30,Democrat,16148,"drink coffee,cook at home,go to the gym,drive to work",NA,83
2018-10-05T11:41:10Z,2018-10-05 11:43:20,100,129,True,2018-10-05 11:43:20,NA,anonymous,EN,33,26,32,50,11,6,14,7,51,50,78,90,62,26,75,Male,44,Independent,19703,"drink coffee,cook at home,go to the gym,drive to work",NA,84
2018-10-05T11:47:07Z,2018-10-05 11:57:40,100,633,True,2018-10-05 11:57:40,NA,anonymous,EN,53,44,67,61,36,63,36,39,30,61,69,85,77,49,81,Male,28,Republican,77494,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,85
2018-10-05T11:53:29Z,2018-10-05 11:54:51,100,81,True,2018-10-05 11:54:51,NA,anonymous,EN,58,55,71,60,25,59,34,69,26,60,76,65,66,53,44,Male,34,Democrat,30350,"drink coffee,cook at home,go to the gym,drive to work",NA,86
2018-10-05T11:40:51Z,2018-10-05 11:42:57,100,126,True,2018-10-05 11:42:57,NA,anonymous,EN,62,30,43,70,16,17,13,27,23,42,66,48,87,36,72,Male,29,Independent,08081,"drink coffee,cook at home,go to the gym,drive to work",NA,87
2018-10-05T11:40:56Z,2018-10-05 11:43:53,100,176,True,2018-10-05 11:43:53,NA,anonymous,EN,46,37,35,80,8,65,47,7,13,60,30,85,75,19,66,Male,37,Democrat,33549,"drink coffee,cook at home,go to the gym,drive to work",NA,88
2018-10-05T11:40:29Z,2018-10-05 11:44:38,100,248,True,2018-10-05 11:44:38,NA,anonymous,EN,24,71,40,74,53,38,11,46,38,43,83,80,63,39,56,Male,23,Other,27260,"drink coffee,cook at home,go to the gym,drive to work,watch TV",NA,89
2018-10-05T11:40:51Z,2018-10-05 11:44:01,100,190,True,2018-10-05 11:44:02,NA,anonymous,EN,60,19,31,57,20,23,25,2,5,50,30,77,70,16,59,Male,32,Democrat,44240,"drink coffee,cook at home,go to the gym,drive to work",NA,90
2018-10-05T11:43:54Z,2018-10-05 11:47:37,100,222,True,2018-10-05 11:47:37,NA,anonymous,EN,56,38,40,59,13,37,16,20,37,23,67,70,64,33,77,Male,33,Independent,07011,"drink coffee,cook at home,go to the gym,drive to work",NA,91
2018-10-05T11:40:39Z,2018-10-05 11:42:04,100,85,True,2018-10-05 11:42:05,NA,anonymous,EN,49,35,54,59,29,32,26,21,27,21,61,72,83,40,76,Female,35,Independent,01524,"drink coffee,cook at home,go to the gym,drive to work",NA,92
2018-10-05T11:42:58Z,2018-10-05 11:45:40,100,161,True,2018-10-05 11:45:40,NA,anonymous,EN,60,35,20,90,4,15,5,3,31,12,87,85,87,28,60,Male,38,Democrat,61021,"drink coffee,cook at home,go to the gym,drive to work",NA,93
2018-10-05T11:45:23Z,2018-10-05 11:47:10,100,106,True,2018-10-05 11:47:10,NA,anonymous,EN,60,66,23,85,8,40,20,30,60,38,84,74,94,16,76,Male,26,Democrat,69341,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,94
2018-10-05T11:40:59Z,2018-10-05 11:43:27,100,148,True,2018-10-05 11:43:28,NA,anonymous,EN,60,45,40,65,20,33,16,6,24,10,80,70,70,28,71,Male,27,Democrat,18330,"drink coffee,cook at home,go to the gym,drive to work",NA,95
2018-10-05T11:41:28Z,2018-10-05 11:43:54,100,146,True,2018-10-05 11:43:54,NA,anonymous,EN,30,70,25,60,10,10,25,10,20,65,90,70,80,40,80,Female,55,Republican,64867,"drink coffee,cook at home,go to the gym,drive to work,read newspapers",NA,96
2018-10-05T11:54:00Z,2018-10-05 11:56:17,100,137,True,2018-10-05 11:56:18,NA,anonymous,EN,20,22,32,48,7,69,5,24,8,36,71,78,76,33,40,Male,35,Independent,77706,"drink coffee,cook at home,go to the gym,drive to work",NA,97
2018-10-05T11:40:47Z,2018-10-05 11:44:03,100,195,True,2018-10-05 11:44:03,NA,anonymous,EN,40,32,60,75,8,15,15,10,20,50,60,66,76,60,75,Male,24,Republican,21230,"drink coffee,cook at home,go to the gym,drive to work",NA,98
2018-10-05T11:43:24Z,2018-10-05 11:46:52,100,208,True,2018-10-05 11:46:53,NA,anonymous,EN,60,51,22,65,15,18,7,15,20,21,82,75,85,13,71,Male,59,Democrat,16105,"drink coffee,cook at home,go to the gym,drive to work",NA,99
2018-10-05T11:58:10Z,2018-10-05 12:00:08,100,117,True,2018-10-05 12:00:08,NA,anonymous,EN,75,25,30,80,15,30,50,34,38,37,45,75,65,29,85,Male,42,Democrat,14701,"drink coffee,cook at home,go to the gym,drive to work",NA,100
